Date,MMWR_week,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Ratio_Admin_Dist
2021-01-07,1,LTC,LTC,Long Term Care,3770425,603313,0,0,0,112029,485264,6020,0.16
2021-01-07,1,MA,MAA,Massachusetts,449025,137858,6515,2000,6892503,59177,78672,9,0.307
2021-01-07,1,MD,MDA,Maryland,371425,100049,6144,1655,6045680,47046,52990,13,0.269
2021-01-07,1,ME,MEA,Maine,96475,37128,7177,2762,1344212,19942,17185,1,0.385
2021-01-07,1,MH,MHA,Marshall Islands,7200,0,12326,0,58413,0,0,0,0
2021-01-07,1,MI,MIA,Michigan,662450,137887,6633,1381,9986857,26672,111215,0,0.208
2021-01-07,1,MN,MNA,Minnesota,378425,97098,6710,1722,5639632,18039,79037,22,0.257
2021-01-07,1,MO,MOA,Missouri,401050,113369,6534,1847,6137428,21032,92328,9,0.283
2021-01-07,1,MP,MPA,Northern Mariana Islands,18650,3090,32787,5432,56882,0,3090,0,0.166
2021-01-07,1,MS,MSA,Mississippi,159625,28356,5363,953,2976149,14750,13541,65,0.178
2021-01-07,1,MT,MTA,Montana,69025,27693,6458,2591,1068778,14598,13076,19,0.401
2021-01-07,1,NC,NCA,North Carolina,647450,139474,6173,1330,10488084,42673,96472,329,0.215
2021-01-07,1,ND,NDA,North Dakota,43950,27289,5767,3581,762062,14496,12793,0,0.621
2021-01-07,1,NE,NEA,Nebraska,132800,53548,6865,2768,1934408,22299,31216,33,0.403
2021-01-07,1,NH,NHA,New Hampshire,77075,37369,5668,2748,1359711,20552,16790,27,0.485
2021-01-07,1,NJ,NJA,New Jersey,572250,155458,6443,1750,8882190,75662,79321,475,0.272
2021-01-07,1,NM,NMA,New Mexico,133125,48306,6349,2304,2096829,9881,38418,7,0.363
2021-01-07,1,NV,NVA,Nevada,187375,39761,6083,1291,3080156,16643,23118,0,0.212
2021-01-07,1,NY,NYA,New York State,1134800,353788,5833,1819,19453561,132348,221354,86,0.312
2021-01-07,1,OH,OHA,Ohio,576250,175681,4930,1503,11689100,119064,56605,12,0.305
2021-01-07,1,OK,OKA,Oklahoma,264000,85978,6672,2173,3956971,34820,51158,0,0.326
2021-01-07,1,OR,ORA,Oregon,262100,61672,6214,1462,4217737,26305,35342,25,0.235
2021-01-07,1,PA,PAA,Pennsylvania,789250,202498,6165,1582,12801989,64689,137809,0,0.257
2021-01-07,1,PR,PRA,Puerto Rico,237650,51071,7441,1599,3193694,10216,40646,209,0.215
2021-01-07,1,RI,RIA,Rhode Island,72175,27696,6813,2614,1059361,12573,15123,0,0.384
2021-01-07,1,RP,RPA,Republic of Palau,2800,247,15636,1379,17907,247,0,0,0.088
2021-01-07,1,SC,SCA,South Carolina,225850,58044,4387,1127,5148714,5675,52344,25,0.257
2021-01-07,1,SD,SDA,South Dakota,59900,33389,6771,3774,884659,16586,16790,13,0.557
2021-01-07,1,TN,TNA,Tennessee,454800,179811,6660,2633,6829174,75464,104304,43,0.395
2021-01-07,1,TX,TXA,Texas,1676925,545658,5783,1882,28995881,274672,270986,0,0.325
2021-01-07,1,US,USA,United States,21419800,5919418,6452,1783,331996199,2295546,3620722,3150,0.276
2021-01-07,1,UT,UTA,Utah,191075,62662,5960,1955,3205958,28704,33958,0,0.328
2021-01-07,1,VA,VAA,Virginia,556625,136924,6521,1604,8535519,45059,91863,2,0.246
2021-01-07,1,VA2,VA2,Veterans Health,617450,149496,0,0,0,68473,81023,0,0.242
2021-01-07,1,VI,VIA,Virgin Islands,7775,318,7427,304,104680,141,177,0,0.041
2021-01-07,1,VT,VTA,Vermont,48550,18740,7781,3003,623989,8321,10418,1,0.386
2021-01-07,1,WA,WAA,Washington,518550,121354,6810,1594,7614893,45562,75768,24,0.234
2021-01-07,1,WI,WIA,Wisconsin,322775,82170,5544,1411,5822434,23030,59139,1,0.255
2021-01-07,1,WV,WVA,West Virginia,126275,74016,7046,4130,1792147,24745,49271,0,0.586
2021-01-07,1,WY,WYA,Wyoming,40400,9324,6980,1611,578759,3950,5366,8,0.231
