Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-01-26,NY,NYA,New York State,19453561,2401900,1453972,12347,7474,1245215,6401,189791,976,,,
2021-01-26,OH,OHA,Ohio,11689100,1406950,708026,12036,6057,627390,5367,80329,687,,,
2021-01-26,OK,OKA,Oklahoma,3956971,530675,328874,13411,8311,284799,7197,41814,1057,,,
2021-01-26,OR,ORA,Oregon,4217737,589200,308066,13970,7304,263167,6240,43942,1042,,,
2021-01-26,PA,PAA,Pennsylvania,12801989,1636675,800354,12785,6252,657711,5138,141304,1104,,,
2021-01-26,PR,PRA,Puerto Rico,3193694,416900,188681,13054,5908,147910,4631,39522,1238,,,
2021-01-26,RI,RIA,Rhode Island,1059361,151675,72264,14318,6821,58097,5484,14148,1336,,,
2021-01-26,RP,RPA,Republic of Palau,17907,6000,3046,33506,17010,3044,16999,2,11,,,
2021-01-26,SC,SCA,South Carolina,5148714,519600,317211,10092,6161,267262,5191,48157,935,,,
2021-01-26,SD,SDA,South Dakota,884659,117725,82823,13307,9362,64012,7236,18753,2120,,,
2021-01-26,TN,TNA,Tennessee,6829174,838925,467933,12284,6852,365235,5348,101657,1489,,,
2021-01-26,TX,TXA,Texas,28995881,3342350,1917896,11527,6614,1614648,5569,301684,1040,,,
2021-01-26,UT,UTA,Utah,3205958,374850,230418,11692,7187,196507,6129,25817,805,,,
2021-01-26,VA,VAA,Virginia,8535519,1172375,594828,13735,6969,497055,5823,72628,851,,,
2021-01-26,VA2,VA2,Veterans Health,0,1260325,703351,0,0,600904,0,101749,0,,,
2021-01-26,VI,VIA,Virgin Islands,104680,15700,3747,14998,3579,3251,3106,496,474,,,
2021-01-26,VT,VTA,Vermont,623989,92925,54416,14892,8721,43994,7050,10349,1659,,,
2021-01-26,WA,WAA,Washington,7614893,960800,507610,12617,6666,420728,5525,76144,1000,,,
2021-01-26,WI,WIA,Wisconsin,5822434,685100,318096,11767,5463,268091,4604,48017,825,,,
2021-01-26,WV,WVA,West Virginia,1792147,278400,210492,15534,11745,167660,9355,42821,2389,,,
2021-01-26,WY,WYA,Wyoming,578759,71725,41339,12393,7143,36398,6289,4900,847,,,
2021-01-26,US,USA,United States,331996199,44394075,23540994,,,19902237,,3481921,,10431466,13009981,99547
2021-01-26,LTC,LTC,Long Term Care,,,2725830,,,,,,,,,
