Date,MMWR_week,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Ratio_Admin_Dist
2021-01-08,1,OK,OKA,Oklahoma,297625,103020,7522,2604,3956971,45898,57121,1,0.346
2021-01-08,1,OR,ORA,Oregon,262300,66933,6219,1587,4217737,29259,37646,28,0.255
2021-01-08,1,PA,PAA,Pennsylvania,812550,226478,6347,1769,12801989,75433,151045,0,0.279
2021-01-08,1,PR,PRA,Puerto Rico,237650,51428,7441,1610,3193694,10484,40735,209,0.216
2021-01-08,1,RI,RIA,Rhode Island,72175,30264,6813,2857,1059361,14228,16036,0,0.419
2021-01-08,1,RP,RPA,Republic of Palau,2800,247,15636,1379,17907,247,0,0,0.088
2021-01-08,1,SC,SCA,South Carolina,256550,64729,4983,1257,5148714,7606,57092,31,0.252
2021-01-08,1,SD,SDA,South Dakota,67925,36890,7678,4170,884659,18085,18792,13,0.543
2021-01-08,1,TN,TNA,Tennessee,458100,196642,6708,2879,6829174,85035,111550,57,0.429
2021-01-08,1,TX,TXA,Texas,1833350,618298,6323,2132,28995881,317156,301142,0,0.337
2021-01-08,1,US,USA,United States,22137350,6688231,6668,2015,331996199,2690648,3993499,4084,0.302
2021-01-08,1,UT,UTA,Utah,207500,71669,6472,2235,3205958,33160,38509,0,0.345
2021-01-08,1,VA,VAA,Virginia,556625,150104,6521,1759,8535519,50713,99389,2,0.27
2021-01-08,1,VA2,VA2,Veterans Health,617450,168159,0,0,0,78615,89544,0,0.272
2021-01-08,1,VI,VIA,Virgin Islands,7875,410,7523,392,104680,188,222,0,0.052
2021-01-08,1,VT,VTA,Vermont,48550,22331,7781,3579,623989,10106,12223,2,0.46
2021-01-08,1,WA,WAA,Washington,518550,135097,6810,1774,7614893,53255,81810,32,0.261
2021-01-08,1,WI,WIA,Wisconsin,323075,98373,5549,1690,5822434,31614,66758,1,0.304
2021-01-08,1,WV,WVA,West Virginia,126275,87215,7046,4867,1792147,30964,56251,0,0.691
2021-01-08,1,WY,WYA,Wyoming,41375,10791,7149,1865,578759,4705,6078,8,0.261
