Date,MMWR_week,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Ratio_Admin_Dist,Administered_Dose1,Administered_Dose2,Administered_Dose_Other,Administered_Dose1_Per_100K,Administered_Dose2_Per_100K,Administered_Dose_Other_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,date_type,Recip_Administered,Administered_Dose1_Recip,Administered_Dose2_Recip,Administered_Dose1_Recip_18Plus,Administered_Dose2_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose2_Recip_18PlusPop_Pct,Census2019_18PlusPop,Distributed_Per_100k_18Plus,Administered_18Plus,Admin_Per_100k_18Plus
2021-02-25,,AK,AKA,Alaska,319265,249559,43643,34114,731545,,,,,158560,90416,,21675,12360,,21.7,12.3,Report,249615,158792,90214,157991,89894,28.6,16.3,551562,57884,248436,45042
2021-02-26,,AK,AKA,Alaska,332415,254334,45440,34767,731545,,,,,161333,92407,,22054,12632,,22.1,12.6,Report,254448,161595,92233,160732,91892,29.1,16.7,551562,60268,253128,45893
2021-02-27,,AK,AKA,Alaska,342535,259538,46824,35478,731545,,,,,163443,95485,,22342,13053,,22.4,13,Report,259706,163739,95331,162874,94972,29.5,17.2,551562,62103,258312,46833
2021-02-28,,AK,AKA,Alaska,342535,264741,46824,36189,731545,,,,,166432,97692,,22751,13354,,22.8,13.3,Report,264933,166735,97554,165852,97142,30.1,17.6,551562,62103,263445,47763
2021-03-01,,AK,AKA,Alaska,342535,268406,46824,36690,731545,,,,,167759,100024,,22932,13673,,23,13.7,Report,268637,168069,99916,167175,99473,30.3,18,551562,62103,267067,48420
2021-03-02,,AK,AKA,Alaska,372725,269941,50950,36900,731545,,,,,168315,101000,,23008,13806,,23.1,13.8,Report,270203,168646,100902,167751,100459,30.4,18.2,551562,67576,268601,48698
2021-03-03,,AK,AKA,Alaska,399225,273350,54573,37366,731545,,,,,170243,102472,,23272,14008,,23.3,14,Report,273632,170586,102382,169678,101916,30.8,18.5,551562,72381,271973,49310
2021-03-04,,AK,AKA,Alaska,409125,276891,55926,37850,731545,,,,,172050,104193,,23519,14243,,23.6,14.2,Report,277222,172414,104129,171492,103631,31.1,18.8,551562,74176,275468,49943
2021-03-05,,AK,AKA,Alaska,421375,281467,57601,38476,731545,,,,,174208,106597,,23814,14571,,23.9,14.6,Report,281839,174588,106558,173641,106029,31.5,19.2,551562,76397,279988,50763
2021-03-06,,AK,AKA,Alaska,426715,288625,58331,39454,731545,,,,,177865,110078,,24314,15047,,24.4,15,Report,289004,178237,110053,177272,109498,32.1,19.9,551562,77365,287102,52053
2021-03-07,,AK,AKA,Alaska,426715,295046,58331,40332,731545,,,,,180563,113792,,24682,15555,,24.7,15.6,Report,295459,180948,113787,179957,113205,32.6,20.5,551562,77365,293470,53207
2020-12-30,52,AL,ALA,Alabama,124275,26409,2535,539,4903185,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,53,AL,ALA,Alabama,124275,39446,2535,804,4903185,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,1,AL,ALA,Alabama,159325,39564,3249,807,4903185,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,1,AL,ALA,Alabama,172000,40278,3508,821,4903185,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,1,AL,ALA,Alabama,183900,43280,3751,883,4903185,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,1,AL,ALA,Alabama,245100,48888,4999,997,4903185,19028,29860,0,0.199,,,,,,,,,,,,,,,,,,,,
2021-01-08,1,AL,ALA,Alabama,283200,57105,5776,1165,4903185,23726,33379,0,0.202,,,,,,,,,,,,,,,,,,,,
2021-01-11,2,AL,ALA,Alabama,326850,76528,6666,1561,4903185,33655,42873,0,0.234,,,,,,,,,,,,,,,,,,,,
2021-01-12,2,AL,ALA,Alabama,377025,78134,7689,1594,4903185,34087,44047,0,0.207,70861,7270,3,1445,148,0,,,,,,,,,,,,,,
2021-01-13,2,AL,ALA,Alabama,378975,84040,7729,1714,4903185,36605,47435,0,0.222,74792,9245,3,1525,189,0,,,,,,,,,,,,,,
2021-01-14,,AL,ALA,Alabama,435350,92300,8879,1882,4903185,,,,,80480,11699,,1641,239,,,,,,,,,,,,,,,
2021-01-15,,AL,ALA,Alabama,444650,100567,9069,2051,4903185,,,,,86956,13488,,1773,275,,,,,,,,,,,,,,,
2021-01-19,,AL,ALA,Alabama,444650,130795,9069,2668,4903185,,,,,114319,16346,,2332,333,,,,,,,,,,,,,,,
2021-01-20,,AL,ALA,Alabama,483275,139200,9856,2839,4903185,,,,,121113,17956,,2470,366,,,,,,,,,,,,,,,
2021-01-21,,AL,ALA,Alabama,493125,165919,10057,3384,4903185,,,,,144429,21345,,2946,435,,,,,,,,,,,,,,,
2021-01-22,,AL,ALA,Alabama,519525,199314,10596,4065,4903185,,,,,174317,24840,,3555,507,,,,,,,,,,,,,,,
2021-01-23,,AL,ALA,Alabama,521225,221540,10630,4518,4903185,,,,,193955,27422,,3956,559,,,,,,,,,,,,,,,
2021-01-24,,AL,ALA,Alabama,521225,243737,10630,4971,4903185,,,,,213833,29736,,4361,606,,,,,,,,,,,,,,,
2021-01-25,,AL,ALA,Alabama,521225,250612,10630,5111,4903185,,,,,220464,29978,,4496,611,,,,,,,,,,,,,,,
2021-01-26,,AL,ALA,Alabama,569000,254959,11605,5200,4903185,,,,,223854,30933,,4565,631,,,,,,,,,,,,,,,
2021-01-27,,AL,ALA,Alabama,634000,266444,12930,5434,4903185,,,,,232633,33595,,4745,685,,,,,,,,,,,,,,,
2021-01-28,,AL,ALA,Alabama,655275,278993,13364,5690,4903185,,,,,241337,37431,,4922,763,,4.92,0.76,,,,,,,,,,,,
2021-01-29,,AL,ALA,Alabama,659400,300915,13448,6137,4903185,,,,,256601,44073,,5233,899,,5.23,0.9,,,,,,,,,,,,
2021-01-30,,AL,ALA,Alabama,659400,342436,13448,6984,4903185,,,,,288368,53742,,5881,1096,,5.88,1.1,,,,,,,,,,,,
2021-01-31,,AL,ALA,Alabama,659400,353974,13448,7219,4903185,,,,,298301,55331,,6084,1128,,6.08,1.13,,,,,,,,,,,,
2021-02-01,,AL,ALA,Alabama,659400,358280,13448,7307,4903185,,,,,301628,56308,,6152,1148,,6.15,1.15,,,,,,,,,,,,
2021-02-02,,AL,ALA,Alabama,680550,371882,13880,7584,4903185,,,,,312711,58825,,6378,1200,,6.4,1.2,,,,,,,,,,,,
2021-02-03,,AL,ALA,Alabama,765150,388339,15605,7920,4903185,,,,,324998,62990,,6628,1285,,6.6,1.3,,,,,,,,,,,,
2021-02-04,,AL,ALA,Alabama,799675,408428,16309,8330,4903185,,,,,338845,69155,,6911,1410,,6.9,1.4,,,,,,,,,,,,
2021-02-05,,AL,ALA,Alabama,799875,430597,16313,8782,4903185,,,,,353522,76603,,7210,1562,,7.2,1.6,,,,,,,,,,,,
2021-02-06,,AL,ALA,Alabama,804100,455173,16400,9283,4903185,,,,,370275,84278,,7552,1719,,7.6,1.7,,,,,,,,,,,,
2021-02-07,,AL,ALA,Alabama,804100,462332,16400,9429,4903185,,,,,375567,86141,,7660,1757,,7.7,1.8,,,,,,,,,,,,
2021-02-08,,AL,ALA,Alabama,804100,467636,16400,9537,4903185,,,,,378514,88453,,7720,1804,,7.7,1.8,,,,,,,,,,,,
2021-02-09,,AL,ALA,Alabama,823600,490969,16797,10013,4903185,,,,,395196,95033,,8060,1938,,8.1,1.9,,,,,,,,,,,,
2021-02-10,,AL,ALA,Alabama,861175,515802,17564,10520,4903185,,,,,412462,102520,,8412,2091,,8.4,2.1,,,,,,,,,,,,
2021-02-11,,AL,ALA,Alabama,911875,543237,18598,11079,4903185,,,,,431259,111036,,8795,2265,,9,2.3,,,,,,,,,,,,
2021-02-12,,AL,ALA,Alabama,936200,571115,19094,11648,4903185,,,,,448071,122019,,9138,2489,,9.3,2.6,,,,,,,,,,,,
2021-02-13,,AL,ALA,Alabama,963600,601159,19653,12261,4903185,,,,,467032,133029,,9525,2713,,9.7,2.8,,,,,,,,,,,,
2021-02-14,,AL,ALA,Alabama,965550,612254,19692,12487,4903185,,,,,474065,137032,,9669,2795,,9.9,2.9,,,,,,,,,,,,
2021-02-16,,AL,ALA,Alabama,1015775,636682,20717,12985,4903185,,,,,486206,149288,,9916,3045,,10.1,3.1,,,,,,,,,,,,
2021-02-17,,AL,ALA,Alabama,1032175,650020,21051,13257,4903185,,,,,494424,154341,,10084,3148,,10.3,3.2,,,,,,,,,,,,
2021-02-18,,AL,ALA,Alabama,1032175,672038,21051,13706,4903185,,,,,505660,165104,,10313,3367,,10.5,3.5,,,,,,,,,,,,
2021-02-19,,AL,ALA,Alabama,1077600,739132,21978,15075,4903185,,,,,545431,192304,,11124,3922,,11.4,4,,,,,,,,,,,,
2021-02-20,,AL,ALA,Alabama,1078800,776936,22002,15846,4903185,,,,,560968,214512,,11441,4375,,11.7,4.5,,,,,,,,,,,,
2021-02-21,,AL,ALA,Alabama,1082100,788613,22069,16084,4903185,,,,,567505,219639,,11574,4480,,11.8,4.6,,,,,,,,,,,,
2021-02-22,,AL,ALA,Alabama,1082100,793614,22069,16186,4903185,,,,,570355,221785,,11632,4523,,11.9,4.7,Report,813417,583741,228101,583544,228083,15.3,6,3814879,28365,793405,20798
2021-02-23,,AL,ALA,Alabama,1084440,815108,22117,16624,4903185,,,,,580477,233073,,11839,4754,,12.1,4.9,Report,835020,593936,239425,593734,239406,15.6,6.3,3814879,28427,814893,21361
2021-02-24,,AL,ALA,Alabama,1138650,839703,23223,17126,4903185,,,,,591009,247024,,12054,5038,,12.3,5.2,Report,859989,604602,253615,604396,253595,15.8,6.6,3814879,29848,839483,22005
2021-02-25,,AL,ALA,Alabama,1170120,864757,23864,17637,4903185,,,,,601343,261689,,12264,5337,,12.5,5.5,Report,885395,615100,268465,614886,268445,16.1,7,3814879,30673,864529,22662
2021-02-26,,AL,ALA,Alabama,1380380,893859,28153,18230,4903185,,,,,613097,278985,,12504,5690,,12.8,5.8,Report,915046,627063,286095,626848,286074,16.4,7.5,3814879,36184,893628,23425
2021-02-27,,AL,ALA,Alabama,1402180,931090,28597,18989,4903185,,,,,628583,300548,,12820,6130,,13.1,6.3,Report,953147,643208,307868,642987,307847,16.9,8.1,3814879,36756,930853,24401
2021-02-28,,AL,ALA,Alabama,1402280,942502,28599,19222,4903185,,,,,634792,305731,,12947,6235,,13.3,6.4,Report,965129,649745,313290,649521,313268,17,8.2,3814879,36758,942261,24700
2021-03-01,,AL,ALA,Alabama,1402280,948393,28599,19342,4903185,,,,,637989,308416,,13012,6290,,13.3,6.4,Report,971485,653309,316073,653079,316051,17.1,8.3,3814879,36758,948146,24854
2021-03-02,,AL,ALA,Alabama,1461320,972161,29803,19827,4903185,,,,,647752,322346,,13211,6574,,13.5,6.7,Report,995412,663187,330046,662950,330024,17.4,8.7,3814879,38306,971908,25477
2021-03-03,,AL,ALA,Alabama,1469100,1000031,29962,20396,4903185,,,,,658906,338967,,13438,6913,,13.8,7.1,Report,1023929,674810,346841,674569,346818,17.7,9.1,3814879,38510,999773,26207
2021-03-04,,AL,ALA,Alabama,1530470,1032171,31214,21051,4903185,,,,,672546,357384,,13717,7289,,14,7.5,Report,1056612,688791,365456,688542,365430,18,9.6,3814879,40118,1031902,27049
2021-03-05,,AL,ALA,Alabama,1556460,1064578,31744,21712,4903185,,,,,687445,374826,,14020,7645,,14.4,7.8,Report,1089685,704173,383078,703919,383050,18.5,10,3814879,40800,1064302,27899
2021-03-06,,AL,ALA,Alabama,1628350,1099697,33210,22428,4903185,,,,,703725,393619,,14352,8028,,14.7,8.2,Report,1125654,721109,402061,720846,402028,18.9,10.5,3814879,42684,1099407,28819
2021-03-07,,AL,ALA,Alabama,1628350,1110132,33210,22641,4903185,,,,,709736,398035,,14475,8118,,14.8,8.3,Report,1136898,727681,406723,727410,406686,19.1,10.7,3814879,42684,1109830,29092
2020-12-30,52,AR,ARA,Arkansas,124325,30469,4120,1010,3017804,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,53,AR,ARA,Arkansas,124325,39235,4120,1300,3017804,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,1,AR,ARA,Arkansas,139400,40899,4619,1355,3017804,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,1,AR,ARA,Arkansas,152175,40899,5043,1355,3017804,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,1,AR,ARA,Arkansas,170700,40899,5656,1355,3017804,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,1,AR,ARA,Arkansas,212700,40899,7048,1355,3017804,9623,31275,1,0.192,,,,,,,,,,,,,,,,,,,,
2021-01-08,1,AR,ARA,Arkansas,225100,40899,7459,1355,3017804,9623,31275,1,0.182,,,,,,,,,,,,,,,,,,,,
2021-01-11,2,AR,ARA,Arkansas,250200,40879,8291,1355,3017804,9623,31255,1,0.163,,,,,,,,,,,,,,,,,,,,
2021-01-12,2,AR,ARA,Arkansas,274400,40879,9093,1355,3017804,9623,31255,1,0.149,39357,8,1514,1304,0,50,,,,,,,,,,,,,,
2021-01-13,2,AR,ARA,Arkansas,297800,94854,9868,3143,3017804,29917,64926,11,0.319,80458,12849,1547,2666,426,51,,,,,,,,,,,,,,
2021-01-14,,AR,ARA,Arkansas,297800,108316,9868,3589,3017804,,,,,90339,16711,,2994,554,,,,,,,,,,,,,,,
2021-01-15,,AR,ARA,Arkansas,297800,118338,9868,3921,3017804,,,,,97829,18781,,3242,622,,,,,,,,,,,,,,,
2021-01-19,,AR,ARA,Arkansas,297800,142337,9868,4717,3017804,,,,,118763,21734,,3935,720,,,,,,,,,,,,,,,
2021-01-20,,AR,ARA,Arkansas,334825,173312,11095,5743,3017804,,,,,144792,26541,,4798,879,,,,,,,,,,,,,,,
2021-01-21,,AR,ARA,Arkansas,361550,173312,11981,5743,3017804,,,,,144792,26541,,4798,879,,,,,,,,,,,,,,,
2021-01-22,,AR,ARA,Arkansas,362050,201676,11997,6683,3017804,,,,,167788,31600,,5560,1047,,,,,,,,,,,,,,,
2021-01-23,,AR,ARA,Arkansas,368650,201676,12216,6683,3017804,,,,,167788,31600,,5560,1047,,,,,,,,,,,,,,,
2021-01-24,,AR,ARA,Arkansas,368650,214240,12216,7099,3017804,,,,,179290,32572,,5941,1079,,,,,,,,,,,,,,,
2021-01-25,,AR,ARA,Arkansas,368650,221095,12216,7326,3017804,,,,,185546,33159,,6148,1099,,,,,,,,,,,,,,,
2021-01-26,,AR,ARA,Arkansas,394775,236290,13082,7830,3017804,,,,,196815,37055,,6522,1228,,,,,,,,,,,,,,,
2021-01-27,,AR,ARA,Arkansas,406175,252824,13459,8378,3017804,,,,,209445,40910,,6940,1356,,,,,,,,,,,,,,,
2021-01-28,,AR,ARA,Arkansas,453300,252824,15021,8378,3017804,,,,,209445,40910,,6940,1356,,6.94,1.36,,,,,,,,,,,,
2021-01-29,,AR,ARA,Arkansas,453500,269993,15027,8947,3017804,,,,,221552,45918,,7341,1522,,7.34,1.52,,,,,,,,,,,,
2021-01-30,,AR,ARA,Arkansas,453700,288651,15034,9565,3017804,,,,,233935,52118,,7752,1727,,7.75,1.73,,,,,,,,,,,,
2021-01-31,,AR,ARA,Arkansas,453700,303793,15034,10067,3017804,,,,,244867,56264,,8114,1864,,8.11,1.86,,,,,,,,,,,,
2021-02-01,,AR,ARA,Arkansas,453700,311230,15034,10313,3017804,,,,,249943,58613,,8282,1942,,8.28,1.94,,,,,,,,,,,,
2021-02-02,,AR,ARA,Arkansas,467800,314470,15501,10420,3017804,,,,,251841,59903,,8345,1985,,8.3,2,,,,,,,,,,,,
2021-02-03,,AR,ARA,Arkansas,499325,322447,16546,10685,3017804,,,,,256307,63356,,8493,2099,,8.5,2.1,,,,,,,,,,,,
2021-02-04,,AR,ARA,Arkansas,516925,338227,17129,11208,3017804,,,,,266563,68778,,8833,2279,,8.8,2.3,,,,,,,,,,,,
2021-02-05,,AR,ARA,Arkansas,535550,351175,17746,11637,3017804,,,,,274459,73810,,9095,2446,,9.1,2.4,,,,,,,,,,,,
2021-02-06,,AR,ARA,Arkansas,540050,374674,17895,12415,3017804,,,,,290153,81564,,9615,2703,,9.6,2.7,,,,,,,,,,,,
2021-02-07,,AR,ARA,Arkansas,540050,393445,17895,13037,3017804,,,,,300139,90308,,9946,2993,,9.9,3,,,,,,,,,,,,
2021-02-08,,AR,ARA,Arkansas,540050,401664,17895,13310,3017804,,,,,304604,94058,,10094,3117,,10.1,3.1,,,,,,,,,,,,
2021-02-09,,AR,ARA,Arkansas,580775,404127,19245,13391,3017804,,,,,305917,95202,,10137,3155,,10.1,3.2,,,,,,,,,,,,
2021-02-10,,AR,ARA,Arkansas,581875,418054,19281,13853,3017804,,,,,311339,103669,,10317,3435,,10.3,3.4,,,,,,,,,,,,
2021-02-11,,AR,ARA,Arkansas,593775,430803,19676,14275,3017804,,,,,316972,110751,,10503,3670,,10.5,3.7,,,,,,,,,,,,
2021-02-12,,AR,ARA,Arkansas,629900,447146,20873,14817,3017804,,,,,325562,118465,,10788,3926,,10.8,3.9,,,,,,,,,,,,
2021-02-13,,AR,ARA,Arkansas,630700,457386,20899,15156,3017804,,,,,330146,124040,,10940,4110,,10.9,4.1,,,,,,,,,,,,
2021-02-14,,AR,ARA,Arkansas,630700,472536,20899,15658,3017804,,,,,338611,130637,,11220,4329,,11.2,4.3,,,,,,,,,,,,
2021-02-16,,AR,ARA,Arkansas,631675,483438,20932,16020,3017804,,,,,343637,136415,,11387,4520,,11.4,4.5,,,,,,,,,,,,
2021-02-17,,AR,ARA,Arkansas,649225,486949,21513,16136,3017804,,,,,345271,138254,,11441,4581,,11.5,4.6,,,,,,,,,,,,
2021-02-18,,AR,ARA,Arkansas,664225,490737,22010,16261,3017804,,,,,346623,140662,,11486,4661,,11.5,4.7,,,,,,,,,,,,
2021-02-19,,AR,ARA,Arkansas,691525,517271,22915,17141,3017804,,,,,362972,150812,,12028,4997,,12,5,,,,,,,,,,,,
2021-02-20,,AR,ARA,Arkansas,691525,520904,22915,17261,3017804,,,,,364735,152675,,12086,5059,,12.1,5.1,,,,,,,,,,,,
2021-02-21,,AR,ARA,Arkansas,691525,528467,22915,17512,3017804,,,,,367436,157511,,12176,5219,,12.2,5.2,,,,,,,,,,,,
2021-02-22,,AR,ARA,Arkansas,691525,535413,22915,17742,3017804,,,,,370403,161470,,12274,5351,,12.3,5.4,Report,536310,371148,161660,370986,161634,16,7,2317649,29837,535227,23094
2021-02-23,,AR,ARA,Arkansas,794230,540192,26318,17900,3017804,,,,,372786,163848,,12353,5429,,12.4,5.4,Report,541059,373476,164064,373313,164036,16.1,7.1,2317649,34269,540003,23300
2021-02-24,,AR,ARA,Arkansas,816730,554466,27064,18373,3017804,,,,,378225,172653,,12533,5721,,12.6,5.7,Report,555311,378928,172834,378763,172805,16.3,7.5,2317649,35240,554274,23915
2021-02-25,,AR,ARA,Arkansas,826130,572553,27375,18973,3017804,,,,,384549,184346,,12743,6109,,12.8,6.1,Report,573561,385351,184592,385183,184563,16.6,8,2317649,35645,572358,24696
2021-02-26,,AR,ARA,Arkansas,861230,597990,28538,19815,3017804,,,,,394007,200253,,13056,6636,,13.1,6.6,Report,599130,394906,200532,394736,200501,17,8.7,2317649,37160,597791,25793
2021-02-27,,AR,ARA,Arkansas,892660,622665,29580,20633,3017804,,,,,404883,213974,,13416,7090,,13.4,7.1,Report,624053,405877,214402,405705,214369,17.5,9.2,2317649,38516,622462,26857
2021-02-28,,AR,ARA,Arkansas,892660,649311,29580,21516,3017804,,,,,418453,226968,,13866,7521,,13.9,7.5,Report,650804,419502,227450,419328,227413,18.1,9.8,2317649,38516,649103,28007
2021-03-01,,AR,ARA,Arkansas,892660,661572,29580,21922,3017804,,,,,424534,233135,,14068,7725,,14.1,7.7,Report,663178,425567,233685,425391,233648,18.4,10.1,2317649,38516,661364,28536
